#string_protein_id	preferred_name	protein_size	annotation
93061.SAOUHSC_01541	ABD30622.1	145	Conserved hypothetical phage protein.
93061.SAOUHSC_01542	ABD30623.1	455	SNF2 family N-terminal domain protein.
93061.SAOUHSC_01543	ABD30624.1	96	Phi related protein.
93061.SAOUHSC_01544	ABD30625.1	34	Hypothetical phage protein.
93061.SAOUHSC_01545	ABD30626.1	96	Conserved hypothetical phage protein.
93061.SAOUHSC_01546	ABD30627.1	86	Conserved hypothetical phage protein.
93061.SAOUHSC_01547	ABD30628.1	665	Conserved hypothetical phage protein.
93061.SAOUHSC_01548	ABD30629.1	66	Conserved hypothetical phage protein.
93061.SAOUHSC_01549	ABD30630.1	55	Transcriptional activator rinB-related protein.
93061.SAOUHSC_01550	ABD30631.1	66	Conserved hypothetical phage protein.
93061.SAOUHSC_01551	ABD30632.1	62	Conserved hypothetical phage protein.
93061.SAOUHSC_01552	ABD30633.1	180	Bacteriophage L54a, deoxyuridine 5-triphosphate nucleotidohydrolase; This enzyme is involved in nucleotide metabolism: it produces dUMP, the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA.
93061.SAOUHSC_01553	ABD30634.1	78	PVL orf 52-like protein.
93061.SAOUHSC_01554	ABD30635.1	102	PV83 orf 27-like protein.
93061.SAOUHSC_01555	ABD30636.1	115	Conserved hypothetical phage protein.
93061.SAOUHSC_01556	ABD30637.1	133	PVL orf 52-like protein.
93061.SAOUHSC_01557	ABD30638.1	68	Conserved hypothetical phage protein.
93061.SAOUHSC_01558	ABD30639.1	80	PVL orf 51-like protein.
93061.SAOUHSC_01559	ABD30640.1	66	Conserved hypothetical phage protein.
93061.SAOUHSC_01560	ABD30641.1	85	Conserved hypothetical phage protein.
93061.SAOUHSC_01561	ABD30642.1	133	PVL orf 50-like protein.
93061.SAOUHSC_01562	ABD30643.1	61	ETA orf 26-like protein-related protein.
93061.SAOUHSC_01563	ABD30644.1	650	Phage encoded DNA polymerase I.
93061.SAOUHSC_01565	ABD30645.1	185	Phage-related protein.
93061.SAOUHSC_01566	ABD30646.1	388	Phi APSE P51-like protein.
93061.SAOUHSC_01567	ABD30647.1	120	Conserved hypothetical phage protein.
93061.SAOUHSC_01568	ABD30648.1	107	Conserved hypothetical phage protein.
93061.SAOUHSC_01569	ABD30649.1	53	Conserved hypothetical phage protein.
93061.SAOUHSC_01570	ABD30650.1	87	PVL orf 37-like protein.
93061.SAOUHSC_01571	ABD30651.1	71	SLT orf 71-like protein-related protein.
93061.SAOUHSC_01572	ABD30652.1	121	Conserved hypothetical phage protein.
93061.SAOUHSC_01573	ABD30653.1	81	Conserved hypothetical phage protein.
93061.SAOUHSC_01574	ABD30654.1	87	Helix-turn-helix domain protein.
93061.SAOUHSC_01575	ABD30655.1	237	Helix-turn-helix domain protein.
93061.SAOUHSC_01576	ABD30656.1	310	Exonuclease family.
93061.SAOUHSC_01577	ABD30657.1	113	Conserved hypothetical phage protein.
93061.SAOUHSC_01578	ABD30658.1	75	Conserved hypothetical phage protein.
93061.SAOUHSC_01579	ABD30659.1	48	Hypothetical phage protein.
93061.SAOUHSC_01580	ABD30660.1	204	Phi PVL ORF 30-like protein.
93061.SAOUHSC_01582	ABD30661.1	401	Bacteriophage integrase; Belongs to the 'phage' integrase family.
93061.SAOUHSC_01583	ABD30662.1	675	Conserved hypothetical phage protein.
93061.SAOUHSC_01584	ABD30663.1	289	Conserved hypothetical protein.
93061.SAOUHSC_01585	srrB	583	Staphylococcal respiratory response protein SrrB, putative; Member of the two-component regulatory system SrrA/SrrB, which is involved in the global regulation of staphylococcal virulence factors in response to environmental oxygen levels as well as biofilm formation. Plays also an essential role in host-derived nitric oxide resistance by regulating hmp/flavohemoglobin, an enzyme that detoxifies nitric oxide by converting it to nitrate. Functions as a sensor protein kinase which is autophosphorylated at a histidine residue and transfers its phosphate group to SrrA. In turn, SrrA binds  [...] 
93061.SAOUHSC_01586	srrA	241	DNA-binding response regulator, putative; Member of the two-component regulatory system SrrA/SrrB, which is involved in the global regulation of staphylococcal virulence factors in response to environmental oxygen levels as well as biofilm formation. Plays also an essential role in host-derived nitric oxide resistance by regulating hmp/flavohemoglobin, an enzyme that detoxifies nitric oxide by converting it to nitrate (By similarity). Functions as a transcription regulator by direct binding to promoter regions of target genes (By similarity).
93061.SAOUHSC_01587	ABD30666.1	245	Ribosomal large subunit pseudouridine synthase B, putative; Belongs to the pseudouridine synthase RsuA family.
93061.SAOUHSC_01588	scpB	180	Conserved hypothetical protein; Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpA that pull DNA away from mid-cell into both cell halves.
93061.SAOUHSC_01589	scpA	243	Conserved hypothetical protein; Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpB that pull DNA away from mid-cell into both cell halves.
93061.SAOUHSC_01590	ABD30669.1	168	Conserved hypothetical protein.
93061.SAOUHSC_01591	xerD	295	Integrase/recombinase XerD; Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules. The XerC- XerD complex is essential to convert dimers of the bacterial chromosome into monomers to permit their segregation at cell division. It also contributes to the segregational stability of plasmids.
93061.SAOUHSC_01592	ABD30671.1	149	Transcriptional regulator, Fur, putative; Belongs to the Fur family.
93061.SAOUHSC_01593	ABD30672.1	180	NUDIX domain protein.
93061.SAOUHSC_01594	ABD30673.1	302	Conserved hypothetical protein.
93061.SAOUHSC_01595	ABD30674.1	82	Conserved hypothetical protein.
93061.SAOUHSC_01596	ABD30675.1	251	Conserved hypothetical protein.
93061.SAOUHSC_01597	proC	261	Pyrroline-5-carboxylate reductase; Catalyzes the reduction of 1-pyrroline-5-carboxylate (PCA) to L-proline.
93061.SAOUHSC_01598	rnz	306	AtsA/ElaC family protein; Zinc phosphodiesterase, which displays some tRNA 3'- processing endonuclease activity. Probably involved in tRNA maturation, by removing a 3'-trailer from precursor tRNA; Belongs to the RNase Z family.
93061.SAOUHSC_01599	zwf	494	Glucose-6-phosphate 1-dehydrogenase; Catalyzes the oxidation of glucose 6-phosphate to 6- phosphogluconolactone.
93061.SAOUHSC_01600	ABD30679.1	297	Conserved hypothetical protein.
93061.SAOUHSC_01601	ABD30680.1	549	Alpha-glucosidase, putative.
93061.SAOUHSC_01602	ABD30681.1	339	Transcriptional regulator, putative.
93061.SAOUHSC_01603	ABD30682.1	84	Hypothetical protein.
93061.SAOUHSC_01604	ABD30683.1	123	Conserved hypothetical protein.
93061.SAOUHSC_01605	ABD30684.1	468	6-phosphogluconate dehydrogenase, decarboxylating; Catalyzes the oxidative decarboxylation of 6-phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH.
93061.SAOUHSC_01606	ABD30685.1	377	Peptidase T, putative.
93061.SAOUHSC_01607	ABD30686.1	59	Conserved hypothetical protein.
93061.SAOUHSC_01608	ABD30687.1	30	Hypothetical protein.
93061.SAOUHSC_01609	ABD30688.1	326	Conserved hypothetical protein.
93061.SAOUHSC_01610	ABD30689.1	145	Conserved hypothetical protein; Belongs to the UPF0403 family.
93061.SAOUHSC_01611	ABD30690.1	424	2-oxoisovalerate dehydrogenase, E2 component, dihydrolipoamide acetyltransferase, putative.
93061.SAOUHSC_01612	ABD30691.1	327	2-oxoisovalerate dehydrogenase, E1 component, beta subunit, putative.
93061.SAOUHSC_01613	ABD30692.1	330	2-oxoisovalerate dehydrogenase, E1 component, alpha subunit, putative.
93061.SAOUHSC_01614	ABD30693.1	473	Dihydrolipoamide dehydrogenase.
93061.SAOUHSC_01615	ABD30694.1	559	DNA repair protein RecN; May be involved in recombinational repair of damaged DNA.
93061.SAOUHSC_01617	argR	150	Arginine repressor; Regulates arginine biosynthesis genes.
93061.SAOUHSC_01618	ABD30696.1	293	Geranyltranstransferase, putative; Belongs to the FPP/GGPP synthase family.
93061.SAOUHSC_01619	xseB	76	Exodeoxyribonuclease VII, small subunit; Bidirectionally degrades single-stranded DNA into large acid- insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides; Belongs to the XseB family.
93061.SAOUHSC_01620	xseA	445	Exodeoxyribonuclease VII, large subunit; Bidirectionally degrades single-stranded DNA into large acid- insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides; Belongs to the XseA family.
93061.SAOUHSC_01621	nusB	129	N utilization substance protein B, putative; Involved in transcription antitermination. Required for transcription of ribosomal RNA (rRNA) genes. Binds specifically to the boxA antiterminator sequence of the ribosomal RNA (rrn) operons.
93061.SAOUHSC_01622	ABD30700.1	120	Conserved hypothetical protein.
93061.SAOUHSC_01623	ABD30701.1	451	acetyl-CoA carboxylase, biotin carboxylase; This protein is a component of the acetyl coenzyme A carboxylase complex; first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA.
93061.SAOUHSC_01624	ABD30702.1	154	acetyl-CoA carboxylase, biotin carboxyl carrier protein; This protein is a component of the acetyl coenzyme A carboxylase complex; first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA.
93061.SAOUHSC_01625	efp	185	Translation elongation factor P; Involved in peptide bond synthesis. Stimulates efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase.
93061.SAOUHSC_01626	ABD30704.1	353	Proline dipeptidase, putative; Belongs to the peptidase M24B family.
93061.SAOUHSC_01627	ABD30705.1	193	Conserved hypothetical protein.
93061.SAOUHSC_01628	ABD30706.1	72	Conserved hypothetical protein.
93061.SAOUHSC_01629	lipM	276	Conserved hypothetical protein; Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domain of GcvH, an intermediate carrier during protein lipoylation.
93061.SAOUHSC_01630	ABD30708.1	128	Conserved hypothetical protein.
93061.SAOUHSC_01632	gcvPB	490	Glycine cleavage system P-protein subunit ll, putative; The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor; CO(2) is released and the remaining methylamine moiety is then transferred to the lipoamide cofactor of the H protein; Belongs to the GcvP family. C-terminal subunit subfamily.
93061.SAOUHSC_01633	gcvPA	448	Glycine cleavage system P-protein subunit I, putative; The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor; CO(2) is released and the remaining methylamine moiety is then transferred to the lipoamide cofactor of the H protein.
93061.SAOUHSC_01634	gcvT	363	Glycine cleavage system T protein; The glycine cleavage system catalyzes the degradation of glycine.
93061.SAOUHSC_01635	aroK	174	Shikimate kinase, putative; Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate; Belongs to the shikimate kinase family.
93061.SAOUHSC_01636	ABD30713.1	48	Hypothetical protein.
93061.SAOUHSC_01637	ABD30714.1	124	Conserved hypothetical protein.
93061.SAOUHSC_01638	ABD30715.1	106	Conserved hypothetical protein.
93061.SAOUHSC_01639	ABD30716.1	148	Conserved hypothetical protein.
93061.SAOUHSC_01640	ABD30717.1	103	Conserved hypothetical protein; Required for transformation and DNA binding.
93061.SAOUHSC_01641	ABD30718.1	306	Conserved hypothetical protein.
93061.SAOUHSC_01643	ABD30719.1	324	Conserved hypothetical protein.
93061.SAOUHSC_01644	ABD30720.1	207	Conserved hypothetical protein.
93061.SAOUHSC_01645	ABD30721.1	109	Conserved hypothetical protein.
93061.SAOUHSC_01646	ABD30722.1	328	Glucokinase, putative.
93061.SAOUHSC_01647	ABD30723.1	67	Conserved hypothetical protein.
93061.SAOUHSC_01648	ABD30724.1	150	Conserved hypothetical protein.
93061.SAOUHSC_01649	ABD30725.1	336	Rhomboid family protein.
93061.SAOUHSC_01650	ABD30726.1	179	Conserved hypothetical protein; Belongs to the 5-formyltetrahydrofolate cyclo-ligase family.
93061.SAOUHSC_01651	rpmG2	49	Ribosomal protein L33; Belongs to the bacterial ribosomal protein bL33 family.
93061.SAOUHSC_01652	ABD30728.1	691	Penicillin-binding protein 3.
93061.SAOUHSC_01653	sodA	199	Superoxide dismutase, Mn, putative; Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems. May play a role in maintaining cell viability throughout all stages of growth, but may be the major SOD activity in the exponential growth- phase. Has a role in resisting external superoxide stress. Involved in acid tolerance and the acid-adaptive response. Mediates the derepression of perR regulon in the response to HOCl stress when the level of SOD activity is low.
93061.SAOUHSC_01655	fur	136	Conserved hypothetical protein; Acts as a global negative controlling element, employing Fe(2+) as a cofactor to bind the operator of the repressed genes.
93061.SAOUHSC_01656	ABD30731.1	287	Conserved hypothetical protein.
93061.SAOUHSC_01657	ABD30732.1	261	ABC transporter, putative.
93061.SAOUHSC_01658	nfo	296	Endonuclease IV, putative; Endonuclease IV plays a role in DNA repair. It cleaves phosphodiester bonds at apurinic or apyrimidinic (AP) sites, generating a 3'-hydroxyl group and a 5'-terminal sugar phosphate. Belongs to the AP endonuclease 2 family.
93061.SAOUHSC_01659	cshB	448	Conserved hypothetical protein; Probable DEAD-box RNA helicase. May work in conjunction with the cold shock proteins to ensure proper initiation of transcription at low and optimal temperatures.
93061.SAOUHSC_01660	ABD30735.1	366	Conserved hypothetical protein; Belongs to the GTP cyclohydrolase I type 2/NIF3 family.
93061.SAOUHSC_01661	ABD30736.1	225	Conserved hypothetical protein.
93061.SAOUHSC_01662	sigA	368	RNA polymerase sigma factor, putative; Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released. This sigma factor is the primary sigma factor during exponential growth.
93061.SAOUHSC_01663	dnaG	599	DNA primase, putative; RNA polymerase that catalyzes the synthesis of short RNA molecules used as primers for DNA polymerase during DNA replication.
93061.SAOUHSC_01664	ABD30739.1	272	Conserved hypothetical protein; Bifunctional serine/threonine kinase and phosphorylase involved in the regulation of the pyruvate, phosphate dikinase (PPDK) by catalyzing its phosphorylation/dephosphorylation.
93061.SAOUHSC_01665	ABD30740.1	179	CBS domain protein.
93061.SAOUHSC_01666	glyQS	463	glycyl-tRNA synthetase; Catalyzes the attachment of glycine to tRNA(Gly). Belongs to the class-II aminoacyl-tRNA synthetase family.
93061.SAOUHSC_01667	recO	248	Conserved hypothetical protein; Involved in DNA repair and RecF pathway recombination.
93061.SAOUHSC_01668	era	224	GTP-binding protein Era; An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism.
93061.SAOUHSC_01669	ABD30744.1	58	Hypothetical protein.
93061.SAOUHSC_01670	ABD30745.1	134	Cytidine deaminase; This enzyme scavenges exogenous and endogenous cytidine and 2'-deoxycytidine for UMP synthesis; Belongs to the cytidine and deoxycytidylate deaminase family.
93061.SAOUHSC_01671	ABD30746.1	114	Diacylglycerol kinase, putative.
93061.SAOUHSC_01672	ybeY	155	Conserved hypothetical protein; Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA.
93061.SAOUHSC_01673	ABD30748.1	315	Conserved hypothetical protein.
93061.SAOUHSC_01675	ABD30749.1	232	Conserved hypothetical protein.
93061.SAOUHSC_01676	ABD30750.1	329	Conserved hypothetical protein.
93061.SAOUHSC_01677	ABD30751.1	227	Conserved hypothetical protein.
93061.SAOUHSC_01678	rpsU	58	Ribosomal protein S21; Belongs to the bacterial ribosomal protein bS21 family.
93061.SAOUHSC_01679	ABD30753.1	448	Conserved hypothetical protein.
93061.SAOUHSC_01680	ABD30754.1	250	Conserved hypothetical protein; Specifically methylates the N3 position of the uracil ring of uridine 1498 (m3U1498) in 16S rRNA. Acts on the fully assembled 30S ribosomal subunit.
93061.SAOUHSC_01681	prmA	312	Ribosomal protein L11 methyltransferase; Methylates ribosomal protein L11; Belongs to the methyltransferase superfamily. PrmA family.
93061.SAOUHSC_01682	dnaJ	379	DnaJ protein; Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins and by disaggregating proteins, also in an autonomous, DnaK-independent fashion. Unfolded proteins bind initially to DnaJ; upon interaction with the DnaJ-bound protein, DnaK hydrolyzes its bound ATP, resulting in the formation of a stable complex. GrpE releases ADP from DnaK; ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and Gr [...] 
93061.SAOUHSC_01683	dnaK	610	DNAk protein, putative; Acts as a chaperone; Belongs to the heat shock protein 70 family.
93061.SAOUHSC_01684	grpE	208	Co-chaperone GrpE; Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ; upon interaction with the DnaJ-bound protein, DnaK hydrolyzes its bound ATP, resulting in the formation of a stable complex. GrpE releases ADP from DnaK; ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-depend [...] 
93061.SAOUHSC_01685	hrcA	325	Heat-inducible transcription repressor HrcA; Negative regulator of class I heat shock genes (grpE-dnaK- dnaJ and groELS operons). Prevents heat-shock induction of these operons.
93061.SAOUHSC_01686	ABD30760.1	374	Conserved hypothetical protein; Probably acts as a heme chaperone, transferring heme to an unknown acceptor. Binds one molecule of heme per monomer, possibly covalently. Binds 1 [4Fe-4S] cluster. The cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. Belongs to the anaerobic coproporphyrinogen-III oxidase family.
93061.SAOUHSC_01687	ABD30761.1	42	Conserved hypothetical protein.
93061.SAOUHSC_01688	lepA	607	Conserved hypothetical protein; Required for accurate and efficient protein synthesis under certain stress conditions. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Back-translocation proceeds from a post-translocation (POST) complex to a pre- translocation (PRE) complex, thus giving elongation factor G a second chance to translocate the tRNAs correctly. Binds to ribosomes in a GTP- dependent manner.
93061.SAOUHSC_01689	rpsT	83	Ribosomal protein S20; Binds directly to 16S ribosomal RNA.
93061.SAOUHSC_01690	ABD30764.1	324	Conserved hypothetical protein.
93061.SAOUHSC_01691	ABD30765.1	715	DNA internalization-related competence protein ComEC/Rec2.
93061.SAOUHSC_01692	ABD30766.1	143	Conserved hypothetical protein.
93061.SAOUHSC_01693	ABD30767.1	228	Conserved hypothetical protein.
93061.SAOUHSC_01694	ABD30768.1	238	Conserved hypothetical protein.
93061.SAOUHSC_01695	rsfS	117	Conserved hypothetical protein; Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation.
93061.SAOUHSC_01696	ABD30770.1	194	Conserved hypothetical protein.
93061.SAOUHSC_01697	nadD	189	Nicotinate (nicotinamide) nucleotide adenylyltransferase; Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD).
93061.SAOUHSC_01698	ABD30772.1	96	Conserved hypothetical protein.
93061.SAOUHSC_01699	aroE	268	Shikimate 5-dehydrogenase; Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA).
93061.SAOUHSC_01700	ABD30774.1	366	Conserved hypothetical protein.
93061.SAOUHSC_01701	ABD30775.1	175	Conserved hypothetical protein.
93061.SAOUHSC_01702	mtnN	228	MTA/SAH nucleosidase; Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S-adenosylhomocysteine (SAH/AdoHcy) to adenine and the corresponding thioribose, 5'- methylthioribose and S-ribosylhomocysteine, respectively. Belongs to the PNP/UDP phosphorylase family. MtnN subfamily.
93061.SAOUHSC_01703	ABD30777.1	53	Hypothetical protein.
93061.SAOUHSC_01704	ABD30778.1	89	Conserved hypothetical protein.
93061.SAOUHSC_01705	ABD30779.1	234	Enterotoxin family protein.
93061.SAOUHSC_01706	ABD30780.1	406	Conserved hypothetical protein.
93061.SAOUHSC_01707	ABD30781.1	409	Conserved hypothetical protein.
93061.SAOUHSC_01708	pxpA	250	Conserved hypothetical protein; Catalyzes the cleavage of 5-oxoproline to form L-glutamate coupled to the hydrolysis of ATP to ADP and inorganic phosphate.
93061.SAOUHSC_01709	ABD30783.1	453	acetyl-CoA carboxylase, biotin carboxylase, putative.
93061.SAOUHSC_01710	ABD30784.1	149	acetyl-CoA carboxylase, biotin carboxyl carrier protein, putative.
93061.SAOUHSC_01711	ABD30785.1	304	Conserved hypothetical protein.
93061.SAOUHSC_01712	ABD30786.1	233	Conserved hypothetical protein.
93061.SAOUHSC_01714	greA	158	Transcription elongation factor GreA; Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides.
93061.SAOUHSC_01715	udk	207	Uridine kinase.
93061.SAOUHSC_01716	ABD30789.1	422	Conserved hypothetical protein.
93061.SAOUHSC_01717	ABD30790.1	307	Conserved hypothetical protein.
93061.SAOUHSC_01718	ABD30791.1	212	Conserved hypothetical protein.
93061.SAOUHSC_01719	ABD30792.1	102	Conserved hypothetical protein; Belongs to the UPF0473 family.
93061.SAOUHSC_01720	ABD30793.1	142	Conserved hypothetical protein; Could be a nuclease involved in processing of the 5'-end of pre-16S rRNA.
93061.SAOUHSC_01721	ABD30794.1	86	Conserved hypothetical protein; Belongs to the UPF0297 family.
93061.SAOUHSC_01722	alaS	876	alanyl-tRNA synthetase; Catalyzes the attachment of alanine to tRNA(Ala) in a two- step reaction: alanine is first activated by ATP to form Ala-AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain.
93061.SAOUHSC_01723	recD2	825	Conserved hypothetical protein; DNA-dependent ATPase and ATP-dependent 5'-3' DNA helicase. Has no activity on blunt DNA or DNA with 3'-overhangs, requires at least 10 bases of 5'-ssDNA for helicase activity; Belongs to the RecD family. RecD-like subfamily.
93061.SAOUHSC_01724	ABD30797.1	222	Conserved hypothetical protein.
93061.SAOUHSC_01725	mnmA	257	tRNA methyl transferase, putative; Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34.
93061.SAOUHSC_01726	ABD30799.1	100	(5-methylaminomethyl-2-thiouridylate)- methyltransferase.
93061.SAOUHSC_01727	ABD30800.1	380	Conserved hypothetical protein.
93061.SAOUHSC_01728	ABD30801.1	337	Conserved hypothetical protein.
93061.SAOUHSC_01729	ABD30802.1	48	Conserved hypothetical protein.
93061.SAOUHSC_01730	ABD30803.1	60	Conserved hypothetical protein; Belongs to the UPF0337 (CsbD) family.
93061.SAOUHSC_01732	ABD30804.1	116	Conserved hypothetical protein.
93061.SAOUHSC_01733	ABD30805.1	58	Hypothetical protein.
93061.SAOUHSC_01734	ABD30806.1	415	Conserved hypothetical protein.
93061.SAOUHSC_01735	ABD30807.1	257	Conserved hypothetical protein.
93061.SAOUHSC_01736	ABD30808.1	42	Conserved hypothetical protein.
93061.SAOUHSC_01737	aspS	588	aspartyl-tRNA synthetase; Catalyzes the attachment of L-aspartate to tRNA(Asp) in a two-step reaction: L-aspartate is first activated by ATP to form Asp- AMP and then transferred to the acceptor end of tRNA(Asp). Belongs to the class-II aminoacyl-tRNA synthetase family. Type 1 subfamily.
93061.SAOUHSC_01738	hisS	420	histidyl-tRNA synthetase.
93061.SAOUHSC_01739	lytH	291	Conserved hypothetical protein; Probably involved in cell-wall metabolism (By similarity). May have autolysin activity. Belongs to the N-acetylmuramoyl-L-alanine amidase 3 family.
93061.SAOUHSC_01741	dtd	150	D-tyrosyl-tRNA(Tyr) deacylase; An aminoacyl-tRNA editing enzyme that deacylates mischarged D-aminoacyl-tRNAs. Also deacylates mischarged glycyl-tRNA(Ala), protecting cells against glycine mischarging by AlaRS. Acts via tRNA- based rather than protein-based catalysis; rejects L-amino acids rather than detecting D-amino acids in the active site. By recycling D- aminoacyl-tRNA to D-amino acids and free tRNA molecules, this enzyme counteracts the toxicity associated with the formation of D-aminoacyl- tRNA entities in vivo and helps enforce protein L-homochirality. Belongs to the DTD family.
93061.SAOUHSC_01742	ABD30813.1	729	GTP pyrophosphokinase; In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance.
93061.SAOUHSC_01743	apt	172	Adenine phosphoribosyltransferase; Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis.
93061.SAOUHSC_01744	ABD30815.1	757	Conserved hypothetical protein.
93061.SAOUHSC_01746	secD	739	Protein-export membrane protein SecDF; Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA; Belongs to the SecD/SecF family. SecD subfamily.
93061.SAOUHSC_01747	ABD30817.1	86	Preprotein translocase, YajC subunit.
93061.SAOUHSC_01748	tgt	379	Queuine tRNA-ribosyltransferase; Catalyzes the base-exchange of a guanine (G) residue with the queuine precursor 7-aminomethyl-7-deazaguanine (PreQ1) at position 34 (anticodon wobble position) in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). Catalysis occurs through a double-displacement mechanism. The nucleophile active site attacks the C1' of nucleotide 34 to detach the guanine base from the RNA, forming a covalent enzyme-RNA intermediate. The proton acceptor active site deprotonates the incoming PreQ1, allowing a nucleophilic attack on the C1' of the ribose to form th [...] 
93061.SAOUHSC_01749	queA	341	S-adenosylmethionine:tRNA ribosyltransferase-isomerase; Transfers and isomerizes the ribose moiety from AdoMet to the 7-aminomethyl group of 7-deazaguanine (preQ1-tRNA) to give epoxyqueuosine (oQ-tRNA).
93061.SAOUHSC_01750	ruvB	334	Holliday junction DNA helicase RuvB; The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing.
93061.SAOUHSC_01751	ruvA	200	Holliday junction DNA helicase RuvA; The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing. RuvA stimulates, in the presence of DNA, the weak ATPase activity of RuvB.
93061.SAOUHSC_01752	ABD30822.1	151	ACT domain protein; Belongs to the UPF0735 family.
93061.SAOUHSC_01753	obg	430	GTP-binding protein; An essential GTPase which binds GTP, GDP and possibly (p)ppGpp with moderate affinity, with high nucleotide exchange rates and a fairly low GTP hydrolysis rate. Plays a role in control of the cell cycle, stress response, ribosome biogenesis and in those bacteria that undergo differentiation, in morphogenesis control. Belongs to the TRAFAC class OBG-HflX-like GTPase superfamily. OBG GTPase family.
93061.SAOUHSC_01755	rpmA	94	Ribosomal protein L27; Belongs to the bacterial ribosomal protein bL27 family.
93061.SAOUHSC_01756	ABD30825.1	106	Conserved hypothetical protein.
93061.SAOUHSC_01757	rplU	102	Ribosomal protein L21; This protein binds to 23S rRNA in the presence of protein L20; Belongs to the bacterial ribosomal protein bL21 family.
93061.SAOUHSC_01758	ABD30827.1	176	Conserved hypothetical protein.
